index,name_russian,name_original,year,bot_message_type,summary_preview
2614,Какая у вас улыбка,,1974,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2676,Незваные гости (киноальманах),,1975,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2718,Это мы не проходили...,,1975,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2719,Возвращение Белого Клыка,"Return of White Fang, The",1974,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2761,Новые испанцы,"New Spaniards, The",1974,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2929,"Отпуск, который не состоялся",,1976,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2974,Багдасар разводится с женой,,1976,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2981,Этот настоящий мужчина,"Real Man, A",1975,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2987,Звезда падает вверх,"Star Is Falling Upwards, A",1975,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3021,Крестьянин на велосипеде,"Peasant on a Bicycle, A",1974,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3041,Пока стоят горы...,,1976,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3049,"Этот зелёный, красный мир",,1975,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3083,Журавль в небе...,,1977,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3085,Золотые дукаты призрака,"Phantom on Horseback, The",1976,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3097,Подарок судьбы,,1977,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3156,Жили-были в первом классе...,,1977,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3160,Чёрный город,A fekete varos,1971,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
3265,По улицам комод водили...,,1978,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3312,Будем знакомы (киноальманах),,1977,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3380,Стрельба дуплетом,,1979,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3385,Большая - малая война,,1980,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3411,"Прогулка, достойная мужчин",,1979,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3433,Десант на Орингу,,1979,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3434,Мой первый друг...,,1979,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3442,На ринг вызывается...,,1979,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3444,Умри на коне,,1979,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3459,Прости - прощай,,1979,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3460,Щит города,,1979,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
3522,"Однажды, двадцать лет спустя",,1980,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3567,Если бы я был начальником...,,1980,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3580,Цветы луговые,,1980,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3588,Третьего не дано,,1980,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3612,Ты должен жить,,1980,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3643,Седьмая пятница,,1980,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3665,Клятвы и обещания,"Sworn Promises, The",1978,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3749,Вот вернулся этот парень...,,1981,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3750,Путешествие в Кавказские горы,,1981,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3770,13-й внук,,1982,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3799,Шёл четвёртый год войны…,,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3805,Где-то плачет иволга...,,1982,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3827,Спокойствие отменяется,,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3840,Серебряное ревю,,1982,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3858,Однолюбы,,1982,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3863,Юность гения,,1982,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3867,Конец бабьего лета,,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3888,К своим!..,,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3919,Требуются мужчины,,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3944,"Прости меня, Алёша",,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3962,Тревожный вылет,,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
3977,Единица «с обманом»,,1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4006,Звездная минута,,1972,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4008,"Прости нас, первая любовь",,1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4024,Прелюдия судьбы,,1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4026,Эхо дальнего взрыва,,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4029,Лома – забытый друг,,1982,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
4030,Жил-был Пётр,,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4038,"Ты мой восторг, мое мученье...",,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4045,И повторится всё ...,,1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4047,Деревья на асфальте,,1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4048,Я готов принять вызов,,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4052,Пожар,,1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
4102,Действуй по обстановке!..,,1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4104,Соперницы,,1985,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4149,Клятва Джантая,,1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4173,Позывные «Вершина»,,1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4176,Пока пройдет осенний дождь,,1985,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4185,Я научу вас мечтать...,,1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4199,Тяжелая ноша,Agyr yuk,1983,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
4238,Соседка,"Woman Next Door, The",1981,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
4286,Вот моя деревня...,,1985,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4303,Приключения на маленьких островах,,1985,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
4310,Пять тысяч за голову Мевлуда,,1985,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4330,Мой дом на зеленых холмах,,1985,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4335,55 градусов ниже нуля,,1986,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4338,Затянувшийся экзамен,,1986,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4345,Пари с волшебницей,"Bet, The",1984,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4353,Верните бабушку,,1985,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4369,"Счастлив, кто любил...",,1986,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4382,Объятие мечты,,1986,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4405,Капитан Аракел,,1985,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4406,Каракумский репортаж,,1985,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4448,Кто войдет в последний вагон,,1986,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4459,Карусель на базарной площади,,1986,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4467,"Мы веселы, счастливы, талантливы!",,1986,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4526,Тризна,,1972,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
4631,Отцы,,1988,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
4650,Отче наш,,1989,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
